Original_Qualification,Mapped_Category
Highest level at secondary school: Highers,Secondary Education
Highest level at secondary school: Highers; Bachelor,Higher Education
Highest level at secondary school: Highers; RGN,Secondary Education
Highest level at secondary school: O-Grade,Secondary Education
Highest level at secondary school: SQA Highers; Bachelor,Higher Education
Highest level at secondary school: four highers,Secondary Education
Highest level at secondary school; HNC,Professional/Vocational
Highest level at secondary school; Master's,Higher Education
Highest level at secondary: Advanced higher; Bachelor,Higher Education
Highest level attained at secondary school,Secondary Education
Highest level attained at secondary school (Advanced Higher),Secondary Education
Highest level attained at secondary school (Highers),Secondary Education
"Highest level attained at secondary school (advancec highers), Bachelor",Higher Education
"Highest level attained at secondary school, PhD",Higher Education
Highest level attained at secondary school: 3 Highers,Secondary Education
Highest level attained at secondary school: Advanced Higher; Master's,Higher Education
Highest level attained at secondary school: College,Professional/Vocational
Highest level attained at secondary school: GCSE; Bachelor,Higher Education
Highest level attained at secondary school: Higher; Bachelor,Higher Education
Highest level attained at secondary school: Highers,Secondary Education
Highest level attained at secondary school: Highers and Advanced; Master's,Higher Education
Highest level attained at secondary school: Highers; Bachelor,Higher Education
Highest level attained at secondary school: S4,Secondary Education
Highest level secondary school,Secondary Education
Highest level secondary school (A-Level),Secondary Education
Highest level secondary school (A-Levels),Secondary Education
Highest level secondary school (A-level),Secondary Education
Highest level secondary school (Advanced Higher),Secondary Education
"Highest level secondary school (Advanced Higher), Bachelor",Higher Education
"Highest level secondary school (Advanced Higher), Bachelor, Master's",Higher Education
"Highest level secondary school (Advanced Higher), English",Secondary Education
"Highest level secondary school (Advanced Higher), Master's",Higher Education
"Highest level secondary school (Advanced Higher), Other (HNC in architecture)",Professional/Vocational
"Highest level secondary school (Advanced Higher), Other (MBChB Year 2)",Higher Education
"Highest level secondary school (Advanced Highers), Bachelor (Medicine)",Higher Education
"Highest level secondary school (Advanced higher), Bachelor",Higher Education
"Highest level secondary school (Advanced higher), Other (HND)",Professional/Vocational
Highest level secondary school (Higher),Secondary Education
"Highest level secondary school (Higher), Bachelor of Dental Surgery",Higher Education
"Highest level secondary school (Higher), Other (HNC Sound prod.)",Professional/Vocational
Highest level secondary school (Highers Scottish),Secondary Education
Highest level secondary school (Highers),Secondary Education
